Category	Species	Biomolecule name	Biomolecule ID	Disease name	Disease ontology	ICD-10 classification	Tissue	PubMed_ID	Interaction gene symbol	Expression direction	Experimental method	Experimental method classification	Throughput	Description	Reference title	Year
microRNA	Homo sapiens	hsa-miR-143	MIMAT0000435	Obesity	DOID:9970	E66	adipocytes	15504739	ERK5	differential expression	microarray/real-time RT-PCR	array;PCR	Low-throughput	identification of miR-143 as an important regulator of adipocyte differentiation suggests that miRNAs are potential therapeutic targets for obesity and metabolic disease.	microRNA-143 regulates adipocyte differentiation.	2004
microRNA	Homo sapiens	hsa-miR-375	MIMAT0000728	Diabetes mellitus	DOID:9351	E10-E14	pancreatic endocrine cells	15538371	Mtpn	upregulation	RT-PCR	PCR	Low-throughput	miR-375 is a regulator of insulin secretion and may thereby constitute a novel pharmacological target for the treatment of diabetes.	A pancreatic islet-specific microRNA regulates insulin secretion.	2004
microRNA	Mus musculus	mmu-miR-122	MIMAT0000246	Obesity	DOID:9970	E66	liver	16459310	HMGRCS1/SQLE/DHCR7	upregulation	microarray/RT-PCR/Transfection Experiments/Northern blot	array;immunochemistry;PCR;RNAi/knock down/transfection	Low-throughput	miR-122 inhibition in a diet-induced obesity mouse model resulted in decreased plasma cholesterol levels and a significant improvement in liver steatosis, accompanied by reductions in several lipogenic genes. These results implicate miR-122 as a key regulator of cholesterol and fatty-acid metabolism in the adult liver and suggest that miR-122 may be an attractive therapeutic target for metabolic disease.	miR-122 regulation of lipid metabolism revealed by in vivo antisense targeting	2006
microRNA	Mus musculus	mmu-mir-9	MI0000157	Diabetes mellitus	DOID:9351	E10-E14	beta-cell	16831872	OC2	downregulation	Northern blot	immunochemistry	Low-throughput	Because each miRNA is predicted to regulate the expression of many mRNAs, the identification of additional mir-9 targets promises to highlight new candidate genes potentially involved in diabetes.	MicroRNA-9 controls the expression of Granuphilin/Slp4 and the secretory response of insulin-producing cells.	2006
microRNA	Mus musculus	mmu-miR-192	MIMAT0000517	Diabetic nephropathy	-	E14	kidney	17360662	SIP1	upregulation	microarray/real-time qPCR	array;PCR	Low-throughput	The in vivo relevance was noted by the observation that miR-192 levels were enhanced significantly in glomeruli isolated from streptozotocin-injected diabetic mice as well as diabetic db/db mice relative to corresponding nondiabetic controls, in parallel with increased TGF-beta and Col1a2 levels. These results uncover a role for miRs in the kidney and DN in controlling TGF-beta-induced Col1a2 expression by down-regulating E-box repressors.	microRNA-192 in diabetic kidney glomeruli and its function in TGF-beta-induced collagen expression via inhibition of E-box repressors.	2007
microRNA	Mus musculus	mmu-miR-124a	MIMAT0000134	Type II diabetes mellitus	DOID:9352	E11	beta-cell	17462994	Foxa2	differential expression	real-time RT-PCR/Northern blot	immunochemistry;PCR	Low-throughput	we speculate that miR-124a may provide a novel target for cell-based treatments of type 2 diabetes characterized by β-cell failure.	MicroRNA-124a regulates Foxa2 expression and intracellular signaling in pancreatic beta-cell lines.	2007
microRNA	Mus musculus	mmu-miR-223	MIMAT0000665	Osteoporosis	DOID:11476	M80	RAW264.7 cells	17471500	-	upregulation	RNAi	RNAi/knock down/transfection	Low-throughput	miR-223 plays an essential role during osteoclast differentiation, and miR-223 might be a viable therapeutic target for a range of bone metabolic disorders with excess osteoclast activity.	microRNA-223 is a key factor in osteoclast differentiation	2007
microRNA	Rattus norvegicus	rno-miR-29a	MIMAT0000802	Type II diabetes mellitus	DOID:9352	E11	skeletal muscle	17652184	-	upregulation	microarray/Northern blot	array;immunochemistry	Low-throughput	Among induced miRNAs were three paralogs of miR-29, miR-29a, miR-29b, and miR-29c. Northern blotting further confirmed their elevated expression in three important target tissues of insulin action: muscle, fat, and liver of diabetic rats.	Overexpression of micro ribonucleic acid 29, highly up-regulated in diabetic rats, leads to insulin resistance in 3T3-L1 adipocytes.	2007
microRNA	Rattus norvegicus	rno-miR-29b	MIMAT0000801	Type II diabetes mellitus	DOID:9352	E11	skeletal muscle	17652184	-	upregulation	microarray/Northern blot	array;immunochemistry	Low-throughput	Among induced miRNAs were three paralogs of miR-29, miR-29a, miR-29b, and miR-29c. Northern blotting further confirmed their elevated expression in three important target tissues of insulin action: muscle, fat, and liver of diabetic rats.	Overexpression of micro ribonucleic acid 29, highly up-regulated in diabetic rats, leads to insulin resistance in 3T3-L1 adipocytes.	2007
microRNA	Rattus norvegicus	rno-miR-29c	MIMAT0000803	Type II diabetes mellitus	DOID:9352	E11	skeletal muscle	17652184	-	upregulation	microarray/Northern blot	array;immunochemistry	Low-throughput	Among induced miRNAs were three paralogs of miR-29, miR-29a, miR-29b, and miR-29c. Northern blotting further confirmed their elevated expression in three important target tissues of insulin action: muscle, fat, and liver of diabetic rats.	Overexpression of micro ribonucleic acid 29, highly up-regulated in diabetic rats, leads to insulin resistance in 3T3-L1 adipocytes.	2007
